Region,Dia,S,I,R
0,0,999000.00,1000.00,0.00
0,1,998200.80,1699.20,100.00
0,2,996843.89,2886.19,269.92
0,3,994542.22,4899.24,558.54
0,4,990644.21,8307.32,1048.46
0,5,984060.53,14060.27,1879.20
0,6,972991.61,23723.17,3285.22
0,7,954525.65,39816.81,5657.54
0,8,924120.72,66240.06,9639.22
0,9,875149.68,108587.10,16263.23
0,10,799125.71,173752.36,27121.94
0,11,688045.73,267457.10,44497.17
0,12,540827.56,387929.56,71242.88
0,13,372985.16,516979.00,110035.84
0,14,218724.76,619541.50,161733.74
0,15,110317.51,665994.60,223687.89
0,16,51540.82,658171.84,290287.35
0,17,24402.65,619492.82,356104.53
0,18,12308.83,569637.35,418053.81
0,19,6699.58,518282.87,475017.55
0,20,3921.76,469232.41,526845.84
0,21,2449.58,423781.34,573769.08
0,22,1619.11,382233.68,616147.21
0,23,1124.01,344505.41,654370.58
0,24,814.23,310364.65,688821.12
0,25,612.06,279530.35,719857.59
0,26,475.19,251714.19,747810.62
0,27,379.50,226638.46,772982.04
0,28,310.69,204043.42,795645.89
0,29,259.98,183689.80,816050.23
0,30,221.77,165359.02,834419.21
0,31,192.44,148852.46,850955.11
0,32,169.52,133990.13,865840.35
0,33,151.35,120609.28,879239.37
0,34,136.75,108562.96,891300.30
0,35,124.87,97718.54,902156.59
0,36,115.11,87956.45,911928.45
0,37,107.01,79168.90,920724.09
0,38,100.23,71258.79,928640.98
0,39,94.52,64138.62,935766.86
0,40,89.67,57729.61,942180.72
0,41,85.53,51960.79,947953.68
0,42,81.97,46768.27,953149.76
0,43,78.90,42094.51,957826.59
0,44,76.25,37887.71,962036.04
0,45,73.94,34101.25,965824.81
0,46,71.92,30693.15,969234.94
0,47,70.15,27625.60,972304.25
0,48,68.60,24864.59,975066.81
0,49,67.24,22379.49,977553.27
0,50,66.03,20142.75,979791.22
0,51,64.97,18129.54,981805.49
0,52,64.03,16317.53,983618.45
0,53,63.19,14686.61,985250.20
0,54,62.45,13218.69,986718.86
0,55,61.79,11897.48,988040.73
0,56,61.20,10708.32,989230.48
0,57,60.68,9638.01,990301.31
0,58,60.21,8674.68,991265.11
0,59,59.79,7807.63,992132.58
0,60,59.42,7027.24,992913.34
0,61,59.08,6324.85,993616.07
0,62,58.78,5692.66,994248.55
0,63,58.52,5123.67,994817.82
0,64,58.28,4611.54,995330.18
0,65,58.06,4150.60,995791.34
0,66,57.87,3735.73,996206.40
0,67,57.70,3362.33,996579.97
0,68,57.54,3026.25,996916.20
0,69,57.40,2723.77,997218.83
0,70,57.28,2451.52,997491.21
0,71,57.16,2206.48,997736.36
0,72,57.06,1985.93,997957.01
0,73,56.97,1787.43,998155.60
0,74,56.89,1608.77,998334.34
0,75,56.82,1447.96,998495.22
0,76,56.75,1303.23,998640.02
0,77,56.69,1172.97,998770.34
0,78,56.64,1055.72,998887.64
0,79,56.59,950.20,998993.21
0,80,56.55,855.22,999088.23
0,81,56.51,769.74,999173.75
0,82,56.48,692.80,999250.72
0,83,56.44,623.55,999320.00
0,84,56.42,561.22,999382.36
0,85,56.39,505.13,999438.48
0,86,56.37,454.64,999488.99
0,87,56.35,409.19,999534.46
0,88,56.33,368.29,999575.38
0,89,56.31,331.48,999612.21
0,90,56.30,298.35,999645.36
0,91,56.28,268.53,999675.19
0,92,56.27,241.69,999702.04
0,93,56.26,217.53,999726.21
0,94,56.25,195.78,999747.96
0,95,56.24,176.22,999767.54
0,96,56.23,158.60,999785.16
0,97,56.23,142.75,999801.02
0,98,56.22,128.48,999815.30
0,99,56.21,115.64,999828.15
0,100,56.21,104.08,999839.71
0,101,56.20,93.68,999850.12
0,102,56.20,84.31,999859.49
0,103,56.20,75.89,999867.92
0,104,56.19,68.30,999875.51
0,105,56.19,61.47,999882.34
0,106,56.19,55.33,999888.48
0,107,56.19,49.80,999894.02
0,108,56.18,44.82,999899.00
0,109,56.18,40.34,999903.48
0,110,56.18,36.31,999907.51
0,111,56.18,32.68,999911.14
0,112,56.18,29.41,999914.41
0,113,56.17,26.47,999917.35
0,114,56.17,23.83,999920.00
0,115,56.17,21.45,999922.38
0,116,56.17,19.30,999924.53
0,117,56.17,17.37,999926.46
0,118,56.17,15.64,999928.19
0,119,56.17,14.07,999929.76
0,120,56.17,12.67,999931.17
1,0,999000.00,1000.00,0.00
1,1,998200.80,1699.20,100.00
1,2,996843.89,2886.19,269.92
1,3,994542.22,4899.24,558.54
1,4,990644.21,8307.32,1048.46
1,5,984060.53,14060.27,1879.20
1,6,972991.61,23723.17,3285.22
1,7,954525.65,39816.81,5657.54
1,8,924120.72,66240.06,9639.22
1,9,875149.68,108587.10,16263.23
1,10,799125.71,173752.36,27121.94
1,11,688045.73,267457.10,44497.17
1,12,540827.56,387929.56,71242.88
1,13,372985.16,516979.00,110035.84
1,14,218724.76,619541.50,161733.74
1,15,110317.51,665994.60,223687.89
1,16,51540.82,658171.84,290287.35
1,17,24402.65,619492.82,356104.53
1,18,12308.83,569637.35,418053.81
1,19,6699.58,518282.87,475017.55
1,20,3921.76,469232.41,526845.84
1,21,2449.58,423781.34,573769.08
1,22,1619.11,382233.68,616147.21
1,23,1124.01,344505.41,654370.58
1,24,814.23,310364.65,688821.12
1,25,612.06,279530.35,719857.59
1,26,475.19,251714.19,747810.62
1,27,379.50,226638.46,772982.04
1,28,310.69,204043.42,795645.89
1,29,259.98,183689.80,816050.23
1,30,221.77,165359.02,834419.21
1,31,192.44,148852.46,850955.11
1,32,169.52,133990.13,865840.35
1,33,151.35,120609.28,879239.37
1,34,136.75,108562.96,891300.30
1,35,124.87,97718.54,902156.59
1,36,115.11,87956.45,911928.45
1,37,107.01,79168.90,920724.09
1,38,100.23,71258.79,928640.98
1,39,94.52,64138.62,935766.86
1,40,89.67,57729.61,942180.72
1,41,85.53,51960.79,947953.68
1,42,81.97,46768.27,953149.76
1,43,78.90,42094.51,957826.59
1,44,76.25,37887.71,962036.04
1,45,73.94,34101.25,965824.81
1,46,71.92,30693.15,969234.94
1,47,70.15,27625.60,972304.25
1,48,68.60,24864.59,975066.81
1,49,67.24,22379.49,977553.27
1,50,66.03,20142.75,979791.22
1,51,64.97,18129.54,981805.49
1,52,64.03,16317.53,983618.45
1,53,63.19,14686.61,985250.20
1,54,62.45,13218.69,986718.86
1,55,61.79,11897.48,988040.73
1,56,61.20,10708.32,989230.48
1,57,60.68,9638.01,990301.31
1,58,60.21,8674.68,991265.11
1,59,59.79,7807.63,992132.58
1,60,59.42,7027.24,992913.34
1,61,59.08,6324.85,993616.07
1,62,58.78,5692.66,994248.55
1,63,58.52,5123.67,994817.82
1,64,58.28,4611.54,995330.18
1,65,58.06,4150.60,995791.34
1,66,57.87,3735.73,996206.40
1,67,57.70,3362.33,996579.97
1,68,57.54,3026.25,996916.20
1,69,57.40,2723.77,997218.83
