Region,Dia,S,I,R
0,0,199900.00,100.00,0.00
0,1,199820.04,166.56,10.00
0,2,199690.31,277.38,26.66
0,3,199474.39,461.79,54.40
0,4,199115.32,753.08,100.58
0,5,198546.32,1252.21,175.91
0,6,197577.07,2039.64,301.17
0,7,196045.61,3311.08,505.35
0,8,193582.65,5580.32,837.03
0,9,189261.64,8969.56,1395.06
0,10,182812.88,14336.80,2296.31
0,11,172807.75,23066.59,3740.35
0,12,157166.19,36920.88,6058.68
0,13,133857.78,55508.73,9743.67
0,14,104602.06,80035.04,15362.89
0,15,71114.74,101980.56,23366.40
0,16,42863.78,119120.83,34168.95
0,17,22879.93,133277.86,46984.65
0,18,10517.13,127501.35,59379.45
0,19,5221.27,119264.37,73080.39
0,20,2764.06,108958.21,86054.09
0,21,1576.93,96367.81,98039.94
0,22,988.92,94148.81,109882.80
0,23,601.40,81361.83,116376.33
0,24,409.07,76725.47,125554.89
0,25,279.77,68762.41,131459.68
0,26,202.31,65189.14,137989.67
0,27,147.07,59245.20,142106.19
0,28,111.38,52188.79,146929.87
0,29,88.47,48419.97,152736.75
0,30,70.89,44431.28,156603.74
0,31,57.97,38985.17,160161.24
0,32,49.13,36298.11,164715.01
0,33,41.77,32778.53,167455.42
0,34,36.25,28989.28,170498.22
0,35,32.12,25749.92,173811.04
0,36,28.87,23336.34,176745.64
0,37,26.16,22035.12,178980.07
0,38,23.73,20257.47,180245.09
0,39,21.75,18642.58,181792.46
0,40,20.08,17472.92,183238.21
0,41,18.61,15356.35,184311.65
0,42,17.50,14139.88,186138.96
0,43,16.48,12720.27,187275.47
0,44,15.64,11687.77,188535.98
0,45,14.89,10722.49,189477.96
0,46,14.24,9637.65,190345.26
0,47,13.69,8493.24,191311.75
0,48,13.24,7345.26,192335.45
0,49,12.87,6621.26,193365.87
0,50,12.53,5972.17,194028.00
0,51,12.23,5159.91,194612.86
0,52,11.99,4757.69,195338.84
0,53,11.75,4194.23,195708.42
0,54,11.56,3701.09,196211.82
0,55,11.39,3418.82,196656.20
0,56,11.23,3143.95,196913.00
0,57,11.09,2834.62,197160.18
0,58,10.96,2500.18,197437.83
0,59,10.86,2259.98,197738.30
0,60,10.76,1999.57,197955.25
0,61,10.67,1803.51,198189.32
0,62,10.60,1558.28,198366.20
0,63,10.53,1402.97,198586.49
0,64,10.47,1322.64,198726.79
0,65,10.42,1168.35,198799.51
0,66,10.37,1033.35,198937.95
0,67,10.33,914.26,199059.53
0,68,10.29,829.45,199166.77
0,69,10.25,752.02,199243.23
0,70,10.22,681.50,199312.94
0,71,10.20,627.75,199376.44
0,72,10.17,566.35,199424.87
0,73,10.15,510.51,199480.12
0,74,10.13,468.95,199530.40
0,75,10.11,422.00,199567.84
0,76,10.09,379.62,199610.09
0,77,10.07,336.44,199648.25
0,78,10.06,304.15,199687.12
0,79,10.05,279.19,199716.21
0,80,10.04,246.16,199738.68
0,81,10.03,217.12,199768.42
0,82,10.02,200.40,199794.56
0,83,10.01,184.13,199809.62
0,84,10.00,166.06,199824.28
0,85,10.00,149.76,199840.54
0,86,9.99,137.74,199855.22
0,87,9.98,126.50,199866.05
0,88,9.98,116.19,199876.17
0,89,9.97,104.45,199885.45
0,90,9.97,93.98,199896.02
0,91,9.97,82.90,199905.44
0,92,9.96,76.09,199915.43
0,93,9.96,65.74,199921.56
0,94,9.96,59.18,199930.87
0,95,9.95,52.25,199936.78
0,96,9.95,46.15,199943.02
0,97,9.95,40.71,199948.51
0,98,9.95,36.64,199953.41
0,99,9.95,32.42,199957.07
0,100,9.95,29.93,199960.88
0,101,9.95,26.94,199963.11
0,102,9.94,24.32,199965.81
0,103,9.94,21.96,199968.17
0,104,9.94,19.37,199970.30
0,105,9.94,17.87,199972.63
0,106,9.94,16.14,199973.98
0,107,9.94,14.57,199975.53
0,108,9.94,13.42,199976.94
0,109,9.94,11.85,199977.98
0,110,9.94,10.68,199979.40
0,111,9.94,9.83,199980.45
0,112,9.94,8.86,199981.21
0,113,9.94,8.30,199982.09
0,114,9.94,7.47,199982.59
0,115,9.94,6.85,199983.34
0,116,9.94,6.28,199983.90
0,117,9.94,5.76,199984.41
0,118,9.94,5.07,199984.88
0,119,9.94,4.56,199985.50
0,120,9.94,4.02,199985.96
1,0,200000.00,0.00,0.00
1,1,200000.00,3.40,0.00
1,2,199993.88,11.32,0.34
1,3,199979.28,18.86,1.47
1,4,199964.57,48.09,3.36
1,5,199910.09,81.19,8.17
1,6,199845.71,180.41,16.29
1,7,199659.15,375.51,34.32
1,8,199290.53,650.16,71.85
1,9,198759.79,1290.22,136.85
1,10,197549.44,2480.68,265.63
1,11,195300.42,4181.93,512.94
1,12,192038.02,7035.97,931.15
1,13,186628.53,11502.03,1634.71
1,14,178251.31,19007.88,2788.18
1,15,164659.60,33445.38,4687.86
1,16,140666.89,53870.68,7921.78
1,17,109015.08,76280.99,13147.18
1,18,76346.23,103263.27,20938.25
1,19,44688.79,129077.50,31179.19
1,20,21093.92,135388.97,43023.09
1,21,9694.33,135611.29,56702.04
1,22,4391.60,123522.67,69564.86
1,23,2250.11,114787.07,82962.82
1,24,1216.98,103731.89,94441.53
1,25,714.20,94134.68,105135.17
1,26,445.31,83296.98,114557.78
1,27,299.48,74244.39,123940.93
1,28,212.15,65782.05,132368.19
1,29,157.62,59748.90,140093.49
1,30,119.95,53841.36,146068.38
1,31,94.10,49456.83,151430.04
1,32,75.12,44130.89,155612.47
1,33,61.91,38826.52,160170.93
1,34,52.55,35717.83,164828.80
1,35,44.90,31939.50,167897.58
1,36,39.19,28192.90,171192.55
1,37,34.87,24433.20,174513.88
1,38,31.62,21663.69,177862.57
1,39,28.95,19945.76,180427.79
1,40,26.58,17200.74,182055.98
1,41,24.84,16186.95,184436.98
1,42,23.16,14819.08,185454.09
1,43,21.76,13297.04,186659.43
1,44,20.60,11961.71,188009.61
1,45,19.62,10540.56,189213.42
1,46,18.81,9500.93,190483.11
1,47,18.09,8724.92,191430.47
1,48,17.45,7999.28,192136.30
1,49,16.88,7331.38,192788.72
1,50,16.37,6581.53,193389.40
1,51,15.94,6031.68,194059.88
1,52,15.55,5317.46,194558.47
1,53,15.23,4788.64,195196.13
1,54,14.93,4381.78,195674.99
1,55,14.67,3784.75,196042.88
1,56,14.46,3272.82,196576.36
1,57,14.28,2888.78,197037.99
1,58,14.12,2657.99,197385.05
1,59,13.96,2341.01,197594.38
1,60,13.83,2195.20,197878.59
1,61,13.71,1931.94,198011.36
1,62,13.60,1809.57,198247.17
1,63,13.50,1629.57,198358.36
1,64,13.41,1437.36,198519.90
1,65,13.34,1318.78,198692.78
1,66,13.27,1184.61,198799.91
1,67,13.20,1085.66,198920.58
1,68,13.14,993.86,199009.80
1,69,13.09,891.09,199092.45
1,70,13.04,799.19,199184.92
1,71,13.00,704.65,199267.67
1,72,12.97,658.25,199352.77
1,73,12.93,613.55,199394.68
1,74,12.90,550.61,199434.93
1,75,12.87,504.02,199491.55
1,76,12.84,468.62,199533.53
1,77,12.82,411.71,199565.43
1,78,12.80,367.84,199616.62
1,79,12.78,324.46,199656.14
1,80,12.76,297.07,199695.20
1,81,12.75,266.45,199719.88
1,82,12.73,230.23,199747.44
1,83,12.72,203.08,199780.05
1,84,12.71,182.53,199804.50
1,85,12.70,163.76,199823.01
1,86,12.70,141.49,199839.92
1,87,12.69,129.89,199859.96
1,88,12.68,114.41,199870.42
1,89,12.68,102.89,199884.35
1,90,12.67,90.68,199894.72
1,91,12.67,81.68,199905.72
1,92,12.66,73.57,199913.82
1,93,12.66,66.26,199921.13
1,94,12.66,59.67,199927.71
1,95,12.65,55.89,199933.64
1,96,12.65,51.22,199937.05
1,97,12.65,46.89,199941.25
1,98,12.64,42.21,199945.15
1,99,12.64,38.60,199949.37
1,100,12.64,35.28,199952.62
1,101,12.64,31.12,199955.61
1,102,12.64,27.96,199959.36
1,103,12.64,24.16,199962.20
1,104,12.63,22.57,199965.62
1,105,12.63,19.88,199967.05
1,106,12.63,17.50,199969.47
1,107,12.63,15.41,199971.62
1,108,12.63,13.88,199973.50
1,109,12.63,12.49,199974.88
1,110,12.63,11.46,199976.13
1,111,12.63,10.11,199977.05
1,112,12.63,9.28,199978.27
1,113,12.63,8.18,199979.02
1,114,12.63,7.37,199980.01
1,115,12.63,6.63,199980.74
1,116,12.63,5.84,199981.41
1,117,12.63,5.15,199982.12
1,118,12.63,4.74,199982.74
1,119,12.63,4.27,199983.11
1,120,12.63,3.85,199983.53
2,0,200000.00,0.00,0.00
2,1,200000.00,0.00,0.00
2,2,200000.00,0.12,0.00
2,3,199999.79,10.01,0.01
2,4,199981.98,32.01,1.01
