Region,Dia,S,I,R
0,0,199900.00,100.00,0.00
0,1,199820.04,166.56,10.00
0,2,199690.31,271.83,26.66
0,3,199484.35,452.95,53.84
0,4,199131.74,754.69,99.14
0,5,198544.94,1229.22,174.62
0,6,197619.32,2047.67,297.62
0,7,196035.37,3469.41,502.48
0,8,193307.84,5842.77,849.39
0,9,188790.03,9419.07,1433.67
0,10,182002.21,15305.61,2379.82
0,11,171126.86,24585.37,3916.50
0,12,154584.95,38377.58,6386.89
0,13,131281.61,56308.41,10258.02
0,14,102818.89,80230.01,16061.68
0,15,70134.14,105673.59,24192.27
0,16,40488.83,124147.94,34759.63
0,17,20444.11,133654.84,47317.22
0,18,9447.40,131523.22,60256.04
0,19,4449.90,122461.10,72960.87
0,20,2271.59,117732.38,85261.61
0,21,1171.00,102762.95,94545.65
0,22,694.94,96213.20,105624.90
0,23,422.15,88108.18,113804.86
0,24,270.21,79625.72,121200.55
0,25,183.15,75191.56,128458.86
0,26,125.65,65124.64,133420.63
0,27,93.54,60578.04,140869.22
0,28,70.33,53043.40,145803.75
0,29,55.71,46093.30,151930.43
0,30,45.88,41058.64,158057.55
0,31,38.51,37398.37,162845.68
0,32,32.70,33616.80,166350.50
0,33,28.30,31138.26,169712.18
0,34,24.67,28137.28,172069.98
0,35,21.87,26139.02,174681.14
0,36,19.50,23692.48,176551.74
0,37,17.63,21848.64,178685.37
0,38,16.04,19219.00,180372.74
0,39,14.84,16985.68,182652.84
0,40,13.85,15314.66,184671.49
0,41,13.01,13840.19,186202.95
0,42,12.28,12204.33,187534.32
0,43,11.70,10821.31,188990.11
0,44,11.20,10272.38,190240.49
0,45,10.71,9471.16,190767.85
0,46,10.29,8733.76,191475.88
0,47,9.92,8042.56,192137.97
0,48,9.60,7246.44,192758.67
0,49,9.32,6542.11,193469.09
0,50,9.07,5899.13,194103.39
0,51,8.86,5441.01,194682.02
0,52,8.66,5005.26,195097.47
0,53,8.48,4512.41,195489.12
0,54,8.33,4059.82,195930.55
0,55,8.19,3651.44,196337.81
0,56,8.07,3220.73,196705.47
0,57,7.97,2908.12,197092.32
0,58,7.88,2617.69,197374.83
0,59,7.80,2357.41,197636.20
0,60,7.72,2036.86,197870.55
0,61,7.66,1880.76,198158.32
0,62,7.60,1696.59,198300.05
0,63,7.55,1560.13,198465.50
0,64,7.50,1375.85,198588.56
0,65,7.46,1214.80,198754.05
0,66,7.43,1142.56,198899.09
0,67,7.39,1050.81,198964.53
0,68,7.36,984.20,199046.99
0,69,7.33,865.95,199107.03
0,70,7.30,748.28,199213.24
0,71,7.28,688.65,199319.14
0,72,7.26,619.76,199372.98
0,73,7.24,547.63,199434.96
0,74,7.23,493.89,199499.86
0,75,7.22,444.64,199548.27
0,76,7.20,408.97,199592.61
0,77,7.19,360.70,199624.74
0,78,7.18,311.67,199668.16
0,79,7.17,281.06,199712.30
0,80,7.16,253.68,199739.87
0,81,7.16,223.75,199764.53
0,82,7.15,210.51,199791.47
0,83,7.14,181.88,199803.40
0,84,7.14,164.33,199829.16
0,85,7.13,151.58,199844.97
0,86,7.13,136.57,199856.45
0,87,7.13,125.51,199869.96
0,88,7.12,115.41,199879.92
0,89,7.12,106.01,199889.01
0,90,7.12,95.45,199897.47
0,91,7.11,84.19,199906.98
0,92,7.11,77.33,199917.12
0,93,7.11,71.06,199923.29
0,94,7.11,63.85,199928.94
0,95,7.10,56.21,199935.43
0,96,7.10,49.50,199942.31
0,97,7.10,44.55,199948.35
0,98,7.10,40.07,199952.80
0,99,7.10,35.30,199956.83
0,100,7.10,31.75,199961.13
0,101,7.10,27.98,199964.32
0,102,7.10,25.80,199967.72
0,103,7.10,23.66,199969.68
0,104,7.09,22.16,199971.61
0,105,7.09,20.39,199972.96
0,106,7.09,18.67,199974.55
0,107,7.09,16.80,199976.11
0,108,7.09,15.37,199977.79
0,109,7.09,13.76,199979.08
0,110,7.09,12.39,199980.52
0,111,7.09,11.08,199981.76
0,112,7.09,9.92,199982.93
0,113,7.09,8.70,199983.98
0,114,7.09,7.70,199985.08
0,115,7.09,6.90,199985.98
0,116,7.09,6.33,199986.70
0,117,7.09,5.79,199987.22
0,118,7.09,5.11,199987.69
0,119,7.09,4.68,199988.31
0,120,7.09,4.20,199988.70
1,0,200000.00,0.00,0.00
1,1,200000.00,0.00,0.00
1,2,200000.00,5.78,0.00
1,3,199989.60,9.62,0.58
1,4,199982.10,16.36,1.54
1,5,199969.02,54.98,3.18
1,6,199897.89,135.77,8.67
1,7,199747.04,230.71,22.24
1,8,199562.71,384.14,45.32
1,9,199263.88,842.58,83.73
1,10,198403.62,1399.98,167.83
1,11,197320.76,2903.51,307.87
1,12,194511.53,5574.56,596.64
1,13,189527.30,10118.84,1150.17
1,14,181134.91,17999.77,2153.48
1,15,167017.65,29684.33,3928.15
1,16,146724.14,48003.34,6874.92
1,17,117608.86,69375.93,11582.46
1,18,85585.08,98369.31,18653.68
1,19,51241.09,118222.34,28123.87
1,20,27339.54,129582.05,40433.88
1,21,13345.14,131982.05,54107.53
1,22,6317.72,126195.10,67496.51
1,23,3128.51,114415.90,80112.28
1,24,1716.82,107226.38,92639.28
1,25,972.77,92617.66,102550.50
1,26,624.44,85363.40,114012.17
1,27,411.22,77067.03,122548.51
1,28,284.42,69170.76,130237.79
1,29,206.04,62139.93,137365.75
1,30,155.05,57232.67,143787.00
1,31,118.86,49936.47,148637.23
1,32,95.74,44357.21,154641.81
1,33,79.11,39317.66,159800.82
1,34,66.94,36330.97,164392.13
1,35,56.99,32478.08,167364.11
1,36,49.61,29166.72,170697.97
1,37,43.84,25741.75,173689.07
1,38,39.43,23160.68,176727.46
1,39,35.79,20855.82,179108.40
1,40,32.80,18397.76,181193.98
1,41,30.45,16535.39,183378.01
1,42,28.44,14590.29,185083.51
1,43,26.82,13425.27,186820.68
1,44,25.35,11826.37,187906.93
1,45,24.18,10694.37,189318.03
1,46,23.14,9844.14,190352.66
1,47,22.20,8850.90,191126.90
1,48,21.42,7975.42,192011.99
1,49,20.73,7185.63,192801.02
1,50,20.14,6326.48,193512.44
1,51,19.64,5584.39,194282.01
1,52,19.21,4928.67,194951.53
1,53,18.84,4439.69,195542.75
1,54,18.51,3916.11,195985.46
1,55,18.23,3611.07,196455.58
1,56,17.95,3256.50,196733.20
1,57,17.72,2930.35,197051.31
1,58,17.51,2696.75,197344.96
1,59,17.32,2430.62,197556.14
1,60,17.15,2186.37,197795.17
1,61,17.00,2009.28,198015.11
1,62,16.86,1843.89,198175.03
1,63,16.73,1592.95,198323.94
1,64,16.63,1436.36,198549.13
1,65,16.54,1294.05,198690.66
1,66,16.45,1143.91,198818.82
1,67,16.38,1011.21,198953.92
1,68,16.31,873.83,199073.45
1,69,16.26,788.63,199197.10
1,70,16.21,742.16,199273.99
1,71,16.15,654.53,199315.96
1,72,16.11,590.91,199394.73
1,73,16.08,544.52,199452.07
1,74,16.04,501.02,199493.89
1,75,16.01,442.47,199533.07
1,76,15.98,407.05,199585.75
1,77,15.95,381.30,199617.69
1,78,15.93,349.49,199640.90
1,79,15.90,320.70,199669.54
1,80,15.88,293.33,199695.48
1,81,15.86,268.58,199720.12
1,82,15.85,236.36,199742.42
1,83,15.83,216.53,199771.43
1,84,15.82,187.09,199789.29
1,85,15.81,167.99,199815.79
1,86,15.80,151.06,199833.00
1,87,15.79,135.96,199848.25
1,88,15.78,119.93,199861.85
1,89,15.77,107.84,199876.28
1,90,15.76,98.85,199887.17
1,91,15.76,88.91,199895.27
1,92,15.75,81.41,199904.22
1,93,15.75,70.34,199910.98
1,94,15.74,64.49,199920.94
1,95,15.74,59.07,199926.22
1,96,15.73,54.18,199931.10
1,97,15.73,47.79,199935.51
1,98,15.73,44.59,199941.26
1,99,15.73,40.05,199944.14
1,100,15.72,36.58,199948.23
1,101,15.72,34.05,199951.35
1,102,15.72,30.03,199953.64
1,103,15.72,27.47,199957.25
1,104,15.71,24.60,199959.56
1,105,15.71,21.70,199962.14
1,106,15.71,19.41,199964.75
1,107,15.71,17.73,199966.82
1,108,15.71,15.64,199968.33
1,109,15.71,14.56,199970.21
1,110,15.71,13.29,199971.19
1,111,15.71,11.96,199972.33
1,112,15.71,11.11,199973.53
1,113,15.70,10.18,199974.30
1,114,15.70,8.95,199975.14
1,115,15.70,8.03,199976.24
1,116,15.70,6.94,199977.07
1,117,15.70,6.24,199978.05
1,118,15.70,5.80,199978.69
1,119,15.70,5.10,199979.08
1,120,15.70,4.68,199979.71
2,0,200000.00,0.00,0.00
2,1,200000.00,3.40,0.00
2,2,199993.88,11.21,0.34
2,3,199979.49,28.10,1.46
2,4,199947.96,62.20,4.27
