Region,Dia,S,I,R
0,0,999000.00,1000.00,0.00
0,1,998200.80,1665.22,100.00
0,2,996904.90,2829.72,266.53
0,3,994646.99,4707.40,549.50
0,4,990996.47,8318.66,1020.34
0,5,984071.34,14070.93,1851.58
0,6,972999.87,22791.77,3258.70
0,7,956166.79,38396.04,5543.14
0,8,926698.17,65383.88,9381.75
0,9,876941.60,100731.84,15896.87
0,10,811490.48,156165.81,26138.11
0,11,714543.00,244000.70,42015.42
0,12,574742.45,351701.58,66378.38
0,13,416018.19,472946.55,102282.68
0,14,260898.23,577433.53,150898.08
0,15,141905.46,634670.43,210913.00
0,16,70739.94,625611.96,277856.34
0,17,36270.83,614470.97,349429.95
0,18,18437.76,559340.63,410806.49
0,19,10305.00,517785.50,472129.97
0,20,6035.05,451365.04,523793.04
0,21,3929.75,408101.26,579834.42
0,22,2668.47,371867.78,625734.63
0,23,1874.11,349551.09,662741.89
0,24,1331.17,323261.47,687950.74
0,25,974.69,287403.77,711354.10
0,26,750.79,263759.30,740292.46
0,27,589.53,236213.93,763004.02
0,28,478.22,220875.80,786776.88
0,29,390.54,200910.55,802340.70
0,30,326.58,183051.16,819447.50
0,31,277.97,163545.14,835392.43
0,32,241.79,141448.88,852415.63
0,33,215.70,127864.44,871698.04
0,34,193.68,116907.17,884680.72
0,35,175.26,104663.39,894777.32
0,36,160.64,97674.83,905591.44
0,37,147.58,88937.67,912232.78
0,38,136.90,81079.43,919914.07
0,39,127.88,73911.62,926974.16
0,40,120.20,67330.58,933419.16
0,41,113.62,60344.62,939335.06
0,42,108.16,53033.67,945564.96
0,43,103.70,47515.78,952099.59
0,44,99.79,42542.66,957120.04
0,45,96.42,38170.12,961602.69
0,46,93.49,34829.60,965545.97
0,47,90.84,31226.50,968574.61
0,48,88.58,27442.49,971802.27
0,49,86.69,23647.46,975196.64
0,50,85.14,20874.33,978607.72
0,51,83.76,19157.03,981119.79
0,52,82.44,17174.72,982681.16
0,53,81.32,15427.65,984459.35
0,54,80.31,13865.47,986033.36
0,55,79.43,12932.87,987440.50
0,56,78.57,11812.13,988286.29
