Region,Dia,S,I,R
0,0,9990000.00,10000.00,0.00
0,1,9982008.00,16992.00,1000.00
0,2,9968438.86,28861.94,2699.20
0,3,9945422.18,48012.58,5585.39
0,4,9908192.60,81428.06,10387.67
0,5,9843640.01,135072.94,18530.46
0,6,9739956.17,223437.30,32046.59
0,7,9570218.57,375484.88,54415.13
0,8,9282630.71,612898.63,91962.53
0,9,8838541.14,1008469.33,153444.32
0,10,8125099.81,1588963.61,254279.69
0,11,7114783.96,2472251.57,414488.19
0,12,5706751.54,3561517.19,661612.54
0,13,4109591.98,4870479.50,1024951.08
0,14,2507078.10,5997571.25,1511240.00
0,15,1302098.79,6602991.55,2107648.21
0,16,613497.50,6660896.97,2764425.89
0,17,285473.79,6200001.40,3417249.70
0,18,145292.09,5662243.91,4076908.01
0,19,80406.90,5266625.92,4697413.83
0,20,46323.16,4657662.60,5200959.90
0,21,29341.45,4210617.95,5721107.77
0,22,19533.85,3738004.11,6166176.24
0,23,13797.70,3395951.40,6590250.90
0,24,10049.19,3102875.49,6929846.04
0,25,7522.51,2815950.58,7209298.89
0,26,5808.83,2557036.98,7466425.00
0,27,4607.07,2275972.97,7699591.37
0,28,3775.71,2081968.85,7942938.39
0,29,3137.84,1890242.50,8127822.28
0,30,2657.70,1682958.52,8299249.95
0,31,2303.36,1503788.36,8480379.86
0,32,2029.01,1362570.00,8642450.57
0,33,1806.56,1225670.13,8772523.31
0,34,1629.42,1081214.65,8895090.32
0,35,1491.77,1000432.15,9023121.85
0,36,1368.95,920616.38,9100372.48
0,37,1265.30,846761.17,9171927.70
0,38,1177.24,753349.74,9238169.82
0,39,1107.10,678581.30,9320311.60
0,40,1047.00,610783.27,9388169.73
0,41,995.84,551791.65,9449248.06
0,42,951.68,496555.37,9502492.95
0,43,913.88,451578.43,9552148.48
0,44,880.46,410364.09,9592854.48
0,45,851.20,366670.98,9629943.55
0,46,826.44,337757.86,9669061.05
0,47,803.50,307610.14,9695424.34
0,48,783.42,280151.24,9722453.90
