Region,Dia,S,I,R
0,0,99900.00,100.00,0.00
0,1,99870.03,119.97,10.00
0,2,99834.09,143.92,22.00
0,3,99790.98,172.63,36.39
0,4,99739.30,207.05,53.65
0,5,99677.35,248.29,74.36
0,6,99603.10,297.71,99.19
0,7,99514.14,356.90,128.96
0,8,99407.59,427.76,164.65
0,9,99280.02,512.55,207.42
0,10,99127.37,613.96,258.68
0,11,98944.79,735.14,320.07
0,12,98726.57,879.84,393.59
0,13,98465.98,1052.45,481.57
0,14,98155.09,1258.09,586.82
0,15,97784.63,1502.75,712.63
0,16,97343.79,1793.31,862.90
0,17,96820.09,2137.68,1042.23
0,18,96199.17,2544.83,1256.00
0,19,95464.74,3024.77,1510.48
0,20,94598.47,3588.57,1812.96
0,21,93580.05,4248.14,2171.82
0,22,92387.42,5015.95,2596.63
0,23,90997.19,5904.58,3098.23
0,24,89385.29,6926.03,3688.68
0,25,87528.04,8090.68,4381.29
0,26,85403.55,9406.09,5190.35
0,27,82993.61,10875.42,6130.96
0,28,80285.84,12495.65,7218.51
0,29,77276.17,14255.76,8468.07
0,30,73971.28,16135.08,9893.65
0,31,70390.68,18102.17,11507.15
0,32,66568.01,20114.62,13317.37
0,33,62551.04,22120.13,15328.83
0,34,58400.13,24059.03,17540.85
0,35,54184.98,25868.28,19946.75
0,36,49979.96,27486.46,22533.58
0,37,45858.64,28859.13,25282.22
0,38,41888.32,29943.54,28168.14
0,39,38125.47,30712.04,31162.49
0,40,34612.73,31153.57,34233.70
0,41,31377.80,31273.15,37349.05
0,42,28433.95,31089.68,40476.37
0,43,25781.95,30632.72,43585.33
0,44,23412.63,29938.76,46648.61
0,45,21309.80,29047.72,49642.48
0,46,19452.80,27999.95,52547.25
0,47,17818.76,26833.99,55347.25
0,48,16384.32,25585.03,58030.65
0,49,15126.74,24284.11,60589.15
0,50,14024.72,22957.72,63017.56
0,51,13058.79,21627.87,65313.33
0,52,12211.49,20312.39,67476.12
0,53,11467.36,19025.28,69507.36
0,54,10812.85,17777.26,71409.89
0,55,10236.18,16576.21,73187.61
0,56,9727.15,15427.62,74845.24
0,57,9276.95,14335.05,76388.00
0,58,8877.99,13300.51,77821.50
0,59,8523.75,12324.70,79151.55
0,60,8208.59,11407.39,80384.02
0,61,7927.67,10547.57,81524.76
0,62,7676.82,9743.66,82579.52
0,63,7452.42,8993.70,83553.88
0,64,7251.34,8295.40,84453.25
0,65,7070.89,7646.32,85282.79
0,66,6908.69,7043.89,86047.43
0,67,6762.70,6485.49,86751.81
0,68,6631.12,5968.52,87400.36
0,69,6512.38,5490.40,87997.22
0,70,6405.12,5048.63,88546.26
0,71,6308.11,4640.78,89051.12
0,72,6220.28,4264.52,89515.20
0,73,6140.70,3917.65,89941.65
0,74,6068.53,3598.06,90333.41
0,75,6003.03,3303.75,90693.22
0,76,5943.53,3032.88,91023.59
0,77,5889.45,2783.67,91326.88
0,78,5840.27,2554.48,91605.25
0,79,5795.51,2343.79,91860.70
0,80,5754.76,2150.16,92095.08
0,81,5717.64,1972.27,92310.09
0,82,5683.81,1808.87,92507.32
0,83,5652.97,1658.83,92688.21
0,84,5624.83,1521.08,92854.09
0,85,5599.17,1394.64,93006.20
0,86,5575.74,1278.60,93145.66
0,87,5554.35,1172.13,93273.52
0,88,5534.82,1074.45,93390.73
0,89,5516.98,984.84,93498.18
0,90,5500.68,902.66,93596.66
1,0,79900.00,100.00,0.00
1,1,79870.04,119.96,10.00
1,2,79834.11,143.90,22.00
1,3,79791.03,172.59,36.39
1,4,79739.39,206.97,53.64
1,5,79677.50,248.16,74.34
1,6,79603.35,297.49,99.16
1,7,79514.55,356.55,128.91
1,8,79408.23,427.21,164.56
1,9,79281.02,511.70,207.28
1,10,79128.89,612.66,258.45
1,11,78947.09,733.19,319.72
1,12,78730.03,876.94,393.04
1,13,78471.12,1048.15,480.73
1,14,78162.69,1251.77,585.55
1,15,77795.78,1493.50,710.72
1,16,77360.08,1779.85,860.07
1,17,76843.74,2118.20,1038.06
1,18,76233.35,2516.77,1249.88
1,19,75513.87,2984.58,1501.55
1,20,74668.71,3531.28,1800.01
1,21,73679.92,4166.94,2153.14
1,22,72528.60,4901.57,2569.83
1,23,71195.46,5744.55,3059.99
1,24,69661.76,6703.79,3634.45
1,25,67910.52,7784.66,4304.83
1,26,65928.04,8988.67,5083.29
1,27,63705.77,10312.07,5982.16
1,28,61242.25,11744.38,7013.37
1,29,58545.06,13267.14,8187.80
1,30,55632.34,14853.15,9514.52
1,31,52533.65,16466.51,10999.83
1,32,49289.73,18063.79,12646.48
1,33,45950.88,19596.25,14452.86
1,34,42574.14,21013.37,16412.49
1,35,39219.29,22266.88,18513.82
1,36,35944.45,23315.04,20740.51
1,37,32801.78,24126.21,23072.02
1,38,29834.09,24681.27,25484.64
1,39,27072.80,24974.43,27952.76
1,40,24537.32,25012.47,30450.21
1,41,22235.80,24812.74,32951.45
1,42,20166.81,24400.46,35432.73
1,43,18321.51,23805.71,37872.77
1,44,16685.93,23060.73,40253.35
1,45,15242.96,22197.62,42559.42
1,46,13974.12,21246.70,44779.18
1,47,12860.73,20235.42,46903.85
1,48,11884.83,19187.78,48927.39
1,49,11029.66,18124.17,50846.17
1,50,10280.02,17061.39,52658.59
1,51,9622.31,16012.97,54364.73
1,52,9044.50,14989.48,55966.02
1,53,8536.10,13998.93,57464.97
1,54,8087.99,13047.14,58864.86
1,55,7692.27,12138.15,60169.58
1,56,7342.14,11274.47,61383.39
1,57,7031.72,10457.44,62510.84
1,58,6755.96,9687.45,63556.58
1,59,6510.53,8964.14,64525.33
1,60,6291.68,8286.58,65421.74
1,61,6096.17,7653.43,66250.40
1,62,5921.20,7063.05,67015.74
1,63,5764.37,6513.58,67722.05
1,64,5623.57,6003.02,68373.41
1,65,5496.98,5529.31,68973.71
1,66,5383.00,5090.36,69526.64
1,67,5280.24,4684.08,70035.68
1,68,5187.50,4308.42,70504.08
1,69,5103.68,3961.39,70934.93
1,70,5027.87,3641.07,71331.07
1,71,4959.22,3345.61,71695.17
1,72,4897.00,3073.27,72029.73
1,73,4840.56,2822.38,72337.06
1,74,4789.33,2591.37,72619.30
1,75,4742.79,2378.78,72878.44
1,76,4700.48,2183.21,73116.31
1,77,4662.00,2003.37,73334.63
1,78,4626.97,1838.06,73534.97
1,79,4595.08,1686.14,73718.78
1,80,4566.03,1546.58,73887.39
1,81,4539.54,1418.41,74042.05
1,82,4515.40,1300.71,74183.89
1,83,4493.37,1192.67,74313.96
1,84,4473.28,1093.50,74433.23
1,85,4454.93,1002.49,74542.58
1,86,4438.19,918.99,74642.83
1,87,4422.89,842.38,74734.72
1,88,4408.92,772.12,74818.96
1,89,4396.15,707.67,74896.17
1,90,4384.49,648.57,74966.94
2,0,59900.00,100.00,0.00
2,1,59870.05,119.95,10.00
2,2,59834.14,143.86,21.99
2,3,59791.10,172.52,36.38
2,4,59739.53,206.84,53.63
2,5,59677.75,247.94,74.32
2,6,59603.77,297.12,99.11
2,7,59515.22,355.96,128.82
2,8,59409.29,426.29,164.42
2,9,59282.66,510.29,207.05
2,10,59131.41,610.52,258.08
2,11,58950.90,729.97,319.13
2,12,58735.74,872.13,392.12
2,13,58479.62,1041.05,479.34
2,14,58175.22,1241.34,583.44
2,15,57814.14,1478.28,707.58
2,16,57386.81,1757.78,855.40
2,17,56882.45,2086.37,1031.18
2,18,56289.06,2471.12,1239.82
2,19,55593.57,2919.50,1486.93
2,20,54782.04,3439.07,1778.88
2,21,53840.05,4037.16,2122.79
2,22,52753.24,4720.25,2526.51
2,23,51508.20,5493.27,2998.53
2,24,50093.45,6358.69,3547.86
2,25,48500.81,7315.46,4183.73
2,26,46726.78,8357.94,4915.27
2,27,44774.08,9474.85,5751.07
2,28,42652.94,10648.50,6698.55
2,29,40381.99,11854.60,7763.40
2,30,37988.43,13062.70,8948.86
2,31,35507.27,14237.59,10255.13
2,32,32979.58,15341.52,11678.89
2,33,30449.80,16337.16,13213.05
2,34,27962.48,17190.76,14846.76
2,35,25559.00,17875.16,16565.84
2,36,23274.65,18372.00,18353.35
2,37,21136.64,18672.81,20190.55
2,38,19163.23,18778.93,22057.83
2,39,17363.91,18700.36,23935.73
2,40,15740.35,18453.88,25805.76
2,41,14288.00,18060.85,27651.15
2,42,12997.73,17545.03,29457.24
2,43,11857.50,16930.76,31211.74
2,44,10853.72,16241.46,32904.82
2,45,9972.32,15498.72,34528.96
2,46,9199.53,14721.64,36078.83
2,47,8522.37,13926.63,37551.00
2,48,7928.93,13127.41,38943.66
2,49,7408.50,12335.10,40256.40
2,50,6951.57,11558.51,41489.91
2,51,6549.82,10804.41,42645.76
2,52,6195.99,10077.81,43726.20
2,53,5883.78,9382.23,44733.99
2,54,5607.76,8720.03,45672.21
2,55,5363.27,8092.52,46544.21
2,56,5146.25,7500.28,47353.46
2,57,4953.26,6943.25,48103.49
2,58,4781.30,6420.88,48797.82
2,59,4627.80,5932.29,49439.90
2,60,4490.54,5476.33,50033.13
2,61,4367.58,5051.66,50580.77
2,62,4257.26,4656.81,51085.93
2,63,4158.13,4290.25,51551.61
2,64,4068.94,3950.43,51980.64
2,65,3988.57,3635.75,52375.68
2,66,3916.06,3344.68,52739.26
2,67,3850.57,3075.71,53073.73
2,68,3791.35,2827.35,53381.30
2,69,3737.76,2598.21,53664.03
2,70,3689.20,2386.95,53923.85
2,71,3645.17,2192.28,54162.55
2,72,3605.21,2013.01,54381.78
2,73,3568.93,1848.00,54583.08
2,74,3535.95,1696.17,54767.88
2,75,3505.96,1556.55,54937.49
2,76,3478.67,1428.18,55093.15
2,77,3453.83,1310.20,55235.97
2,78,3431.21,1201.81,55366.99
2,79,3410.59,1102.24,55487.17
2,80,3391.79,1010.82,55597.39
2,81,3374.65,926.88,55698.47
2,82,3359.01,849.83,55791.16
2,83,3344.74,779.12,55876.14
2,84,3331.71,714.24,55954.06
2,85,3319.81,654.71,56025.48
2,86,3308.94,600.11,56090.95
2,87,3299.01,550.03,56150.96
2,88,3289.94,504.10,56205.96
2,89,3281.65,461.98,56256.37
2,90,3274.07,423.36,56302.57
