Region,Dia,S,I,R
0,0,99900.00,100.00,0.00
0,1,99870.03,117.57,10.00
0,2,99834.80,135.45,21.76
0,3,99794.24,159.56,35.30
0,4,99746.47,188.02,51.26
0,5,99690.20,225.48,70.06
0,6,99622.77,271.01,92.61
0,7,99541.77,325.51,119.71
0,8,99444.57,398.68,152.26
0,9,99325.63,479.32,192.13
0,10,99182.80,562.73,240.06
0,11,99015.36,690.88,296.33
0,12,98807.60,810.45,365.41
0,13,98567.36,950.25,446.46
0,14,98286.37,1091.22,541.48
0,15,97964.61,1341.04,650.60
0,16,97570.49,1569.04,784.71
0,17,97111.21,1833.98,941.61
0,18,96576.91,2098.36,1125.01
0,19,95968.95,2460.06,1334.85
0,20,95260.69,2997.36,1580.85
0,21,94404.10,3643.75,1880.59
0,22,93372.14,4429.38,2244.96
0,23,92088.59,5017.85,2686.65
0,24,90702.33,5668.60,3188.44
0,25,89159.87,6836.35,3755.30
0,26,87331.29,7821.67,4438.93
0,27,85282.06,9088.73,5221.10
0,28,82956.74,10295.07,6129.97
0,29,80394.60,12087.40,7159.48
0,30,77479.32,13518.06,8368.22
0,31,74337.21,14702.16,9720.02
0,32,71058.46,16876.22,11190.24
0,33,67460.86,18410.46,12877.86
0,34,63734.91,19860.53,14718.91
0,35,59937.48,22071.76,16704.96
0,36,55968.70,23274.95,18912.14
0,37,52060.70,25235.66,21239.63
0,38,48119.34,27530.79,23763.20
0,39,44145.05,29035.94,26516.28
0,40,40299.67,29864.52,29419.87
0,41,36689.08,29878.88,32406.32
0,42,33400.39,30671.10,35394.21
0,43,30327.11,30063.72,38461.32
0,44,27591.87,29196.74,41467.69
0,45,25175.10,29119.67,44387.37
0,46,22975.82,27679.45,47299.33
0,47,21067.95,26567.34,50067.28
0,48,19388.79,25077.97,52724.01
0,49,17930.10,24283.16,55231.81
0,50,16623.90,23495.05,57660.13
0,51,15452.16,21870.94,60009.63
0,52,14438.30,20374.70,62196.72
0,53,13555.77,19302.44,64234.19
0,54,12770.79,18048.49,66164.44
0,55,12079.31,16935.12,67969.29
0,56,11465.62,15752.74,69662.80
0,57,10923.77,14870.52,71238.07
0,58,10436.45,13321.52,72725.13
0,59,10019.36,12540.16,74057.28
0,60,9642.43,11429.82,75311.29
0,61,9311.79,10732.73,76454.28
0,62,9011.97,9564.89,77527.55
0,63,8753.38,8788.66,78484.04
0,64,8522.58,8185.85,79362.90
0,65,8313.29,7425.03,80181.49
0,66,8128.11,6808.37,80923.99
0,67,7962.09,6208.72,81604.83
0,68,7813.79,5773.96,82225.70
0,69,7678.44,5284.42,82803.10
0,70,7556.71,4780.15,83331.54
0,71,7448.35,4460.17,83809.55
0,72,7348.68,4140.64,84255.57
0,73,7257.40,3766.24,84669.64
0,74,7175.40,3334.14,85046.26
0,75,7103.63,3098.13,85379.67
0,76,7037.60,2828.36,85689.49
0,77,6977.89,2502.07,85972.32
0,78,6925.51,2332.12,86222.53
0,79,6877.06,2167.07,86455.74
0,80,6832.35,2029.53,86672.45
0,81,6790.75,1919.78,86875.40
0,82,6751.64,1724.44,87067.38
0,83,6716.71,1567.27,87239.82
0,84,6685.13,1482.02,87396.55
0,85,6655.41,1309.54,87544.75
0,86,6629.26,1180.64,87675.70
0,87,6605.78,1043.05,87793.77
0,88,6585.11,972.09,87898.07
0,89,6565.91,894.08,87995.28
0,90,6548.30,805.84,88084.69
1,0,79900.00,100.00,0.00
1,1,79870.04,119.96,10.00
1,2,79834.11,146.72,22.00
1,3,79787.37,175.83,36.67
1,4,79734.76,210.70,54.25
